,GOROD_RU,GOROD_EN,REGION1_RU,REGION1_EN,REGION2_RU,REGION2_EN,COUNTRY,ZIP_CODE,POPULATION_GROUP1,POPULATION_GROUP2,POPULATION_GROUP3
3363,Кокжар,Kokzhar,Алакольский район,Alakol district,Алматинская область,Almaty region,Казахстан (KZ),040224,Село_не_адм_центр,Village,Village
3364,Жанаозен,Zhanaozen,Жанаозенский ГУПС,Zhanaozen district,Мангистауская область,Mangystau region,Казахстан (KZ),130203,Город_уровня_3,Small_city,Small_city
3365,Интернациональное,Internatsionalnoe,Махтаральский РУПС,Maktaaral district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160519,Село_не_адм_центр,Village,Village
3366,Шымкент,Shymkent,ЮКО ОФ,Yuko region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160015,Город_значения_РК,Big_city,Big_city
3367,Пушкино,Pushkino,Камыстинский РУПС,Kamysty district,Костанайская область,Kostanay,Казахстан (KZ),110812,Село_не_адм_центр,Village,Village
3368,Золотая Нива,Zolotaya Niva,Уалихановский РУПС,Ualikhanov district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),151207,Село_не_адм_центр,Village,Village
3369,Шымкент,Shymkent,ЮКО ОФ,Yuko region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160021,Город_значения_РК,Big_city,Big_city
3370,Стрельниковка,Strelnikovka,Есильский РУПС,Esil district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150516,Село_не_адм_центр,Village,Village
3371,Талдыкорган,Taldykorgan,Алматинский ОФ,Almaty region,Алматинская область,Almaty region,Казахстан (KZ),040010,Город_уровня_2,Medium_city,Small_city
3372,Атырау,Atyrau,Атырауский ОФ,Atyrau region,Атырауская область,Atyrau,Казахстан (KZ),060010,Город_уровня_2,Medium_city,Small_city
3373,Талдыкорган,Taldykorgan,Алматинский ОФ,Almaty region,Алматинская область,Almaty region,Казахстан (KZ),040003,Город_уровня_2,Medium_city,Small_city
3374,Бурул-Байтал станция,Burul-Baital Stantsiya,Мойынкумский РУПС,Moiynkum district,Жамбылская область,Zhambyl,Казахстан (KZ),080607,Село_не_адм_центр,Village,Village
3375,Аральск,Aralsk,Аральский РУПС,Aral district,Кызылординская область,Kyzylorda,Казахстан (KZ),120103,Город_уровня_4,Small_city,Small_city
3376,Хлебное,Khlebnoe,Сандыктауский РУПС,Sandyktau district,Акмолинская область,Akmola,Казахстан (KZ),021427,Село_не_адм_центр,Village,Village
3377,Сарыкамыс,Sarykamys,Жылыойский РУПС,Zhylyoi district,Атырауская область,Atyrau,Казахстан (KZ),060109,Село_не_адм_центр,Village,Village
3378,Шымкент,Shymkent,ЮКО ОФ,Yuko region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160017,Город_значения_РК,Big_city,Big_city
