,GOROD_RU,GOROD_EN,REGION1_RU,REGION1_EN,REGION2_RU,REGION2_EN,COUNTRY,ZIP_CODE,POPULATION_GROUP1,POPULATION_GROUP2,POPULATION_GROUP3
0,Бородулиха,Borodulikha,Бородулихский РУПС,Borodulikha district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070400,Село_адм_центр,Village,Village
1,Луговой,Lugovoy,Т.Рыскулова РУПС,T. Рyskulova region,Жамбылская область,Zhambyl,Казахстан (KZ),080913,Село_не_адм_центр,Village,Village
2,Есиль,Esil,Есильский РУПС,Esil district,Акмолинская область,Akmola,Казахстан (KZ),020900,Город_уровня_4,Small_city,Small_city
3,Державинск,Derzhavinsk,Жаркаинский РУПС,Zharkain district,Акмолинская область,Akmola,Казахстан (KZ),021100,Город_уровня_4,Small_city,Small_city
4,Батамша,Batamsha,Каргалинский РУПС,Kargaly district,Актюбинская область,Aktobe,Казахстан (KZ),030500,Село_адм_центр,Village,Village
5,Актюбинск,Aktyubinsk,Актюбинский ОФ,Aktobe region,Актюбинская область,Aktobe,Казахстан (KZ),030004,Город_уровня_2,Medium_city,Small_city
6,Новоалексеевка,Novoalekseevka,Хобдинсий РУПС,Kobda district,Актюбинская область,Aktobe,Казахстан (KZ),031000,Село_адм_центр,Village,Village
7,Таскала,Taskala,Таскалинский РУПС,Taskala district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),091000,Село_адм_центр,Village,Village
8,Булаево,Bulaevo,М.Жумабаева РУПС,M. Zhumabaeva region,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150800,Город_уровня_4,Small_city,Small_city
9,Доссор,Dossor,Макатский РУПС,Makat district,Атырауская область,Atyrau,Казахстан (KZ),060603,Село_не_адм_центр,Village,Village
10,Жаныбек,Zhanybek,Джаныбекский РУПС,Zhanybek district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090500,Село_адм_центр,Village,Village
11,Казалинск,Kazalinsk,Новоказалинский РУПС,Novokazaly district,Кызылординская область,Kyzylorda,Казахстан (KZ),120409,Город_уровня_4,Small_city,Small_city
12,Ащибулак,Ashchibulak,Илийский РУПС,Ile district,Алматинская область,Almaty region,Казахстан (KZ),040702,Село_не_адм_центр,Village,Village
13,Саксаульск,Saksaulsk,Аральский РУПС,Aral district,Кызылординская область,Kyzylorda,Казахстан (KZ),120116,Село_не_адм_центр,Village,Village
14,Райымбек,Raiymbek,Карасайский РУПС,Karasay district,Алматинская область,Almaty region,Казахстан (KZ),040923,Село_не_адм_центр,Village,Village
15,Туздыбастау,Tuzdybastau,Талгарский РУПС,Talgar district,Алматинская область,Almaty region,Казахстан (KZ),041626,Село_не_адм_центр,Village,Village
16,Уил,Uil,Уилский РУПС,Oiyl district,Актюбинская область,Aktobe,Казахстан (KZ),030900,Село_адм_центр,Village,Village
17,Каражал,Karazhal,Каражалский ГУПС,Karazhalsky region,Карагандинская область,Karagandy,Казахстан (KZ),100700,Город_уровня_3,Small_city,Small_city
18,Ботакара,Botakara,Бухар-Жырауский РУПС,Bukhar-Zhyrau district,Карагандинская область,Karagandy,Казахстан (KZ),100400,Село_адм_центр,Village,Village
19,Подстепное,Podstepnoe,Теректинский РУПС,Terekti district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),091115,Село_не_адм_центр,Village,Village
20,Тараз,Taraz,Жамбылский ОФ,Zhambyl region,Жамбылская область,Zhambyl,Казахстан (KZ),080003,Город_уровня_2,Medium_city,Small_city
21,Чингирлау,Chingirlau,Чингирлауйский РУПС,Chingirlauy district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),091200,Село_адм_центр,Village,Village
22,Жетиген,Zhetigen,Илийский РУПС,Ile district,Алматинская область,Almaty region,Казахстан (KZ),040714,Село_не_адм_центр,Village,Village
23,Жангала,Zhangala,Джангалинский РУПС,Dzhangaly district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090400,Село_адм_центр,Village,Village
24,Аршалы,Arshaly,Аршалынский РУПС,Arshaly district,город Астана,Astana city,Казахстан (KZ),020200,Село_адм_центр,Village,Village
25,Федоровка,Fedorovka,Федоровский РУПС,Fyodorov district,Костанайская область,Kostanay,Казахстан (KZ),111900,Село_адм_центр,Village,Village
26,Кенжеколь,Kenzhekol,Павлодарский ОФ,Pavlodarsky region,Павлодарская область,Pavlodar,Казахстан (KZ),140014,Село_не_адм_центр,Village,Village
27,Тараз,Taraz,Жамбылский ОФ,Zhambyl region,Жамбылская область,Zhambyl,Казахстан (KZ),080016,Город_уровня_2,Medium_city,Small_city
28,Бесагаш,Besagash,Талгарский РУПС,Talgar district,Алматинская область,Almaty region,Казахстан (KZ),041609,Село_не_адм_центр,Village,Village
29,Смирново,Smirnovo,Аккаинский РУПС,Akkayin district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150300,Село_адм_центр,Village,Village
30,Большенарымское,Bolshenarymskoe,Катон-Карагайский РУПС,Katon-Karagay district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070900,Село_адм_центр,Village,Village
31,Тарановское,Taranovskoe,Тарановский РУПС,Taran district,Костанайская область,Kostanay,Казахстан (KZ),111700,Село_адм_центр,Village,Village
32,Денисовка,Denisovka,Денисовский РУПС,Denisov district,Костанайская область,Kostanay,Казахстан (KZ),110500,Село_адм_центр,Village,Village
33,Кенкияк,Kenkiyak,Темирский РУПС,Temir district,Актюбинская область,Aktobe,Казахстан (KZ),030804,Село_не_адм_центр,Village,Village
34,Карасу,Karasu,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160806,Село_не_адм_центр,Village,Village
35,Узынколь,Uzynkol,Узункольский РУПС,Uzunkol district,Костанайская область,Kostanay,Казахстан (KZ),111800,Село_адм_центр,Village,Village
36,Иртышск,Irtyshsk,Иртышский РУПС,Ertis district,Павлодарская область,Pavlodar,Казахстан (KZ),140500,Село_адм_центр,Village,Village
37,Молодежное,Molodezhnoe,Уланский РУПС,Ulan district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),071600,Село_адм_центр,Village,Village
38,Степняк,Stepnyak,Енбекшильдерский РУПС,Enbekshilder district,Акмолинская область,Akmola,Казахстан (KZ),020700,Город_уровня_4,Small_city,Small_city
39,Баканас,Bakanas,Балхашский РУПС,Balkhash district,Алматинская область,Almaty region,Казахстан (KZ),040300,Село_адм_центр,Village,Village
40,Иргели,Irgeli,Карасайский РУПС,Karasay district,Алматинская область,Almaty region,Казахстан (KZ),040916,Село_не_адм_центр,Village,Village
41,Тараз,Taraz,Жамбылский ОФ,Zhambyl region,Жамбылская область,Zhambyl,Казахстан (KZ),080007,Город_уровня_2,Medium_city,Small_city
42,Жезкент,Zhezkent,Бородулихский РУПС,Borodulikha district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070405,Село_не_адм_центр,Village,Village
43,Сагиз,Sagiz,Кызылкугинский РУПС,Kyzylkoga district,Атырауская область,Atyrau,Казахстан (KZ),060507,Село_не_адм_центр,Village,Village
44,Сатпаев,Satpaev,Жезказганский ГУПС,Zhezkazgansky region,Карагандинская область,Karagandy,Казахстан (KZ),101301,Город_уровня_3,Small_city,Small_city
45,Большая Владимировка,Bolshaya Vladimirovka,Бескарагайский РУПС,Beskaragay district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070300,Село_адм_центр,Village,Village
46,Заречное,Zarechnoe,Костанайский РУПС,Kostanay district,Костанайская область,Kostanay,Казахстан (KZ),111108,Село_не_адм_центр,Village,Village
47,Казталовка,Kaztalovka,Казталовский РУПС,Kaztal district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090700,Село_адм_центр,Village,Village
48,Актогай,Aktogai,Актогайский РУПС,Aktogay district,Павлодарская область,Pavlodar,Казахстан (KZ),140200,Село_адм_центр,Village,Village
49,Аксуат,Aksuat,Тарбагатайский РУПС,Tarbagatay district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),071500,Село_адм_центр,Village,Village
50,Аксу-Аюлы,Aksu-Ayuly,Агадырь,Agadyr,Карагандинская область,Karagandy,Казахстан (KZ),101700,Село_не_адм_центр,Village,Village
51,Жымпиты,Zhympity,Сырымский РУПС,Syrym district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090900,Село_адм_центр,Village,Village
52,Тимирязево,Timiryazevo,Тимирязевкий РУПС,Timiryazev district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),151100,Село_адм_центр,Village,Village
53,Караганда,Karaganda,Карагандинский ОФ,Karagandy region,Карагандинская область,Karagandy,Казахстан (KZ),100007,Город_уровня_2,Medium_city,Small_city
54,Манкент,Mankent,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160809,Село_не_адм_центр,Village,Village
55,Шортанды,Shortandy,Шортандинский РУПС,Shortandy district,Акмолинская область,Akmola,Казахстан (KZ),021600,Село_адм_центр,Village,Village
56,Бадам,Badam,Ордабасинский РУПС,Ordabasy district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160601,Село_не_адм_центр,Village,Village
57,Железинка,Zhelezinka,Железинский РУПС,Zhelezin district,Павлодарская область,Pavlodar,Казахстан (KZ),140400,Село_адм_центр,Village,Village
58,Томарлы,Tomarly,Атырауский ОФ,Atyrau region,Атырауская область,Atyrau,Казахстан (KZ),060024,Село_не_адм_центр,Village,Village
59,Переметное,Peremetnoe,Зеленовский РУПС,Zelenov district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090600,Село_адм_центр,Village,Village
60,Кендала,Kendala,Талгарский РУПС,Talgar district,Алматинская область,Almaty region,Казахстан (KZ),041617,Село_не_адм_центр,Village,Village
61,Акколь,Akkol,Курмангазинский РУПС,Kurmangazy district,Атырауская область,Atyrau,Казахстан (KZ),060401,Село_не_адм_центр,Village,Village
62,п.Киевка,P.Kievka,Нуринский РУПС,Nurinsky district,Карагандинская область,Karagandy,Казахстан (KZ),100900,Село_адм_центр,Village,Village
63,Капланбек,Kaplanbek,Сарыагашский РУПС,Saryagash district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160916,Село_не_адм_центр,Village,Village
64,Топар,Topar,Абайский,Abay district,Карагандинская область,Karagandy,Казахстан (KZ),100116,Село_не_адм_центр,Village,Village
65,Жалпактал,Zhalpaktal,Казталовский РУПС,Kaztal district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090705,Село_не_адм_центр,Village,Village
66,Талшык,Talshyk,Акжарский РУПС,Akzhar district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150200,Село_адм_центр,Village,Village
67,Форт Шевченко,Fort Shevchenko,Мангистауский ОФ,Mangystau region,Мангистауская область,Mangystau region,Казахстан (KZ),130500,Село_адм_центр,Village,Village
68,Атбасар,Atbasar,Атбасарский РУПС,Atbasar district,Акмолинская область,Akmola,Казахстан (KZ),020427,Город_уровня_4,Small_city,Small_city
69,Атбасар,Atbasar,Атбасарский РУПС,Atbasar district,Акмолинская область,Akmola,Казахстан (KZ),020428,Город_уровня_4,Small_city,Small_city
70,Шалгай,Shalgai,Жаркаинский РУПС,Zharkain district,Акмолинская область,Akmola,Казахстан (KZ),021121,Село_не_адм_центр,Village,Village
71,Степногорск,Stepnogorsk,Степногорский РУПС,Stepnogorsk district,Акмолинская область,Akmola,Казахстан (KZ),021505,Город_уровня_3,Small_city,Small_city
72,Комсомольский,Komsomolsky,Айтекебийский РУПС,Ayteke Bi district,Актюбинская область,Aktobe,Казахстан (KZ),030123,Село_адм_центр,Village,Village
73,Актюбинский ОФ,Aktyubinsk region,Актюбинский ОФ,Aktobe region,Актюбинская область,Aktobe,Казахстан (KZ),039900,Город_уровня_2,Medium_city,Small_city
74,ст.Бескол,St. Eeskol,Алакольский район,Alakol district,Алматинская область,Almaty region,Казахстан (KZ),040239,Село_не_адм_центр,Village,Village
75,Талдыкорган,Taldykorgan,Алматинский ОФ,Almaty region,Алматинская область,Almaty region,Казахстан (KZ),040013,Город_уровня_2,Medium_city,Small_city
76,Карабулак,Karabulak,Ескельдинский РУПС,Eskeldi district,Алматинская область,Almaty region,Казахстан (KZ),040521,Село_адм_центр,Village,Village
77,Узынагаш,Uzynagash,Жамбылский РУПС,Zhambyl district,Алматинская область,Almaty region,Казахстан (KZ),040633,Село_адм_центр,Village,Village
78,Коккайнар,Kokkainar,Илийский РУПС,Ile district,Алматинская область,Almaty region,Казахстан (KZ),040729,Село_не_адм_центр,Village,Village
79,Капшагай,Kapshagai,Капчагайский РУПС,Kapchagay district,Алматинская область,Almaty region,Казахстан (KZ),040810,Город_уровня_4,Small_city,Small_city
80,Жанатурмыс,Zhanaturmys,Карасайский РУПС,Karasay district,Алматинская область,Almaty region,Казахстан (KZ),041910,Село_не_адм_центр,Village,Village
81,Кыргаулды,Kyrgauldy,Карасайский РУПС,Karasay district,Алматинская область,Almaty region,Казахстан (KZ),041924,Село_не_адм_центр,Village,Village
82,Атырау,Atyrau,Атырауский ОФ,Atyrau region,Атырауская область,Atyrau,Казахстан (KZ),060025,Город_уровня_2,Medium_city,Small_city
83,Атырау,Atyrau,Атырауский ОФ,Atyrau region,Атырауская область,Atyrau,Казахстан (KZ),060027,Город_уровня_2,Medium_city,Small_city
84,Атырау,Atyrau,Атырауский ОФ,Atyrau region,Атырауская область,Atyrau,Казахстан (KZ),060028,Город_уровня_2,Medium_city,Small_city
85,Жумыскер,Zhumysker,Атырауский ОФ,Atyrau region,Атырауская область,Atyrau,Казахстан (KZ),060029,Село_не_адм_центр,Village,Village
86,Кульсары,Kulsary,Жылыойский РУПС,Zhylyoi district,Атырауская область,Atyrau,Казахстан (KZ),060112,Город_уровня_4,Small_city,Small_city
87,Новобогат,Novobogat,Исатайский РУПС,Isatay district,Атырауская область,Atyrau,Казахстан (KZ),060306,Село_не_адм_центр,Village,Village
88,Сагиз,Sagiz,Кызылкугинский РУПС,Kyzylkoga district,Атырауская область,Atyrau,Казахстан (KZ),060510,Село_не_адм_центр,Village,Village
89,Карабатан,Karabatan,Макатский РУПС,Makat district,Атырауская область,Atyrau,Казахстан (KZ),060606,Село_не_адм_центр,Village,Village
90,Аягоз,Ayagoz,Аягозский РУПС,Ayagoz district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070212,Город_уровня_4,Small_city,Small_city
91,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070020,Город_уровня_2,Medium_city,Small_city
92,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070021,Город_уровня_2,Medium_city,Small_city
93,Алматинский почтамт,Almaty city,Алматинский почтамт,Almaty city,город Алматы,Almaty city,Казахстан (KZ),055990,Город_значения_РК,Big_city,Big_city
94,Алматы,Almaty,Алматинский почтамт,Almaty city,город Алматы,Almaty city,Казахстан (KZ),050081,Город_значения_РК,Big_city,Big_city
95,Астана,Astana,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),010030,Город_значения_РК,Big_city,Big_city
96,Астана,Astana,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),010031,Город_значения_РК,Big_city,Big_city
97,Астана,Astana,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),010032,Город_значения_РК,Big_city,Big_city
98,Астанинский почтамт,Astana city,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),019900,Город_значения_РК,Big_city,Big_city
99,Воздвиженка,Vozdvizhenka,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121801,Село_не_адм_центр,Village,Village
100,Егиндыколь,Egindykol,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121802,Село_не_адм_центр,Village,Village
101,Жалгызкудук,Zhalgyzkuduk,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121803,Село_не_адм_центр,Village,Village
102,Максимовка,Maksimovka,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121805,Село_не_адм_центр,Village,Village
103,Малиновка,Malinovka,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121800,Село_не_адм_центр,Village,Village
104,Маншук,Manshuk,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121806,Село_не_адм_центр,Village,Village
105,Новоишимка,Novoishimka,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121807,Село_не_адм_центр,Village,Village
106,ОПС с.Кощи,OPS S.Koshchi,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121804,Село_не_адм_центр,Village,Village
107,Оразак,Orazak,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121808,Село_не_адм_центр,Village,Village
108,Приозерное,Priozernoe,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121809,Село_не_адм_центр,Village,Village
109,Рождественка,Rozhdestvenka,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121810,Село_не_адм_центр,Village,Village
110,Романовка,Romanovka,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121811,Село_не_адм_центр,Village,Village
111,Софиевка,Sofievka,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),121812,Село_не_адм_центр,Village,Village
112,Тараз,Taraz,Жамбылский ОФ,Zhambyl region,Жамбылская область,Zhambyl,Казахстан (KZ),080020,Город_уровня_2,Medium_city,Small_city
113,Шу,Shu,Шуский РУПС,Shu district,Жамбылская область,Zhambyl,Казахстан (KZ),081124,Город_уровня_4,Small_city,Small_city
114,Шу,Shu,Шуский РУПС,Shu district,Жамбылская область,Zhambyl,Казахстан (KZ),081125,Город_уровня_4,Small_city,Small_city
115,Шу,Shu,Шуский РУПС,Shu district,Жамбылская область,Zhambyl,Казахстан (KZ),081126,Город_уровня_4,Small_city,Small_city
116,Шу,Shu,Шуский РУПС,Shu district,Жамбылская область,Zhambyl,Казахстан (KZ),081127,Город_уровня_4,Small_city,Small_city
117,Шу,Shu,Шуский РУПС,Shu district,Жамбылская область,Zhambyl,Казахстан (KZ),081128,Город_уровня_4,Small_city,Small_city
118,Чапаев,Chapaev,Акжаикский РУПС,Akzhaik district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090121,Село_адм_центр,Village,Village
119,Уральск,Uralsk,ЗКО ОФ,ZKO region,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090014,Город_уровня_2,Medium_city,Small_city
120,Таскала,Taskala,Таскалинский РУПС,Taskala district,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),091009,Село_адм_центр,Village,Village
121,Атасу,Atasu,Жана-Аркинский РУПС,Zhana-Arkinsky district,Карагандинская область,Karagandy,Казахстан (KZ),100511,Село_не_адм_центр,Village,Village
122,Жезказган,Zhezkazgan,Жезказганский ГУПС,Zhezkazgansky region,Карагандинская область,Karagandy,Казахстан (KZ),100605,Город_уровня_3,Small_city,Small_city
123,Жезказган,Zhezkazgan,Жезказганский ГУПС,Zhezkazgansky region,Карагандинская область,Karagandy,Казахстан (KZ),100606,Город_уровня_3,Small_city,Small_city
124,Львовка,Lvovka,Житикаринский РУПС,Zhetikara district,Костанайская область,Kostanay,Казахстан (KZ),110706,Село_не_адм_центр,Village,Village
125,Дружба,Druzhba,Костанайский ОФ,Kostanay region,Костанайская область,Kostanay,Казахстан (KZ),110015,Село_не_адм_центр,Village,Village
126,Костанайский ОФ,Kostanaisky region,Костанайский ОФ,Kostanay region,Костанайская область,Kostanay,Казахстан (KZ),119900,Село_не_адм_центр,Village,Village
127,Алтынсарино,Altynsarino,Костанайский РУПС,Kostanay district,Костанайская область,Kostanay,Казахстан (KZ),110100,Село_не_адм_центр,Village,Village
128,Коктерек,Kokterek,Мендыкаринский РУПС,Mendykara district,Костанайская область,Kostanay,Казахстан (KZ),111309,Село_не_адм_центр,Village,Village
129,Новое,Novoe,Сарыкольский РУПС,Sarykol district,Костанайская область,Kostanay,Казахстан (KZ),111608,Село_не_адм_центр,Village,Village
130,Александрополь,Aleksandropol,Федоровский РУПС,Fyodorov district,Костанайская область,Kostanay,Казахстан (KZ),111901,Село_не_адм_центр,Village,Village
131,Кравцово,Kravtsovo,Федоровский РУПС,Fyodorov district,Костанайская область,Kostanay,Казахстан (KZ),111909,Село_не_адм_центр,Village,Village
132,Приозерное,Priozernoe,Федоровский РУПС,Fyodorov district,Костанайская область,Kostanay,Казахстан (KZ),111919,Село_не_адм_центр,Village,Village
133,Аральск,Aralsk,Аральский РУПС,Aral district,Кызылординская область,Kyzylorda,Казахстан (KZ),120119,Город_уровня_4,Small_city,Small_city
134,Жалагаш,Zhalagash,Жалагашский РУПС,Zhalagash district,Кызылординская область,Kyzylorda,Казахстан (KZ),120215,Село_адм_центр,Village,Village
135,Жанакорган,Zhanakorgan,Жанакорганский РУПС,Zhanakorgan district,Кызылординская область,Kyzylorda,Казахстан (KZ),120316,Село_адм_центр,Village,Village
136,Жусалы,Zhusaly,Кармакшинский РУПС,Karmakshy district,Кызылординская область,Kyzylorda,Казахстан (KZ),120515,Село_адм_центр,Village,Village
137,Теренузак,Terenuzak,Сырдарьинский РУПС,Syrdariya district,Кызылординская область,Kyzylorda,Казахстан (KZ),120613,Село_адм_центр,Village,Village
138,Баянды,Bayandy,Мангистауский ОФ,Mangystau region,Мангистауская область,Mangystau region,Казахстан (KZ),139907,Село_не_адм_центр,Village,Village
139,Мангистауский ОФ,Mangistausky region,Мангистауский ОФ,Mangystau region,Мангистауская область,Mangystau region,Казахстан (KZ),139900,Село_не_адм_центр,Village,Village
140,Пресновка,Presnovka,Кызылжарский РУПС,Kyzylzhar district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),150717,Село_не_адм_центр,Village,Village
141,Ступинка,Stupinka,Шалакынский РУПС,Shalakyn district,Северо-Казахстанская область,North Kazakhstan,Казахстан (KZ),131309,Село_не_адм_центр,Village,Village
142,Кентау,Kentau,Кентау ОПС,Kentau region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),169999,Город_уровня_4,Small_city,Small_city
143,Алгабас,Algabas,Махтаральский РУПС,Maktaaral district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160652,Село_не_адм_центр,Village,Village
144,Артель,Artel,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160816,Село_не_адм_центр,Village,Village
145,Карабулак,Karabulak,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160814,Село_не_адм_центр,Village,Village
146,Каратобе,Karatobe,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160819,Село_не_адм_центр,Village,Village
147,Кожакорган,Kozhakorgan,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160815,Село_не_адм_центр,Village,Village
148,Кызылажар,Kyzylazhar,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160027,Село_не_адм_центр,Village,Village
149,Мартобе,Martobe,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160818,Село_не_адм_центр,Village,Village
150,Сайрам,Sairam,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160817,Село_не_адм_центр,Village,Village
151,Чиркино,Chirkino,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160822,Село_не_адм_центр,Village,Village
152,Ынтымак,Yntymak,Сайрамский РУПС,Sayram district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160823,Село_не_адм_центр,Village,Village
153,Карла Маркса,Karla Marksa,Сарыагашский РУПС,Saryagash district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160926,Село_не_адм_центр,Village,Village
154,Акжар,Akzhar,Толебийский РУПС,Tole Bi district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),161117,Село_не_адм_центр,Village,Village
155,Мадани,Madani,Толебийский РУПС,Tole Bi district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),161118,Село_не_адм_центр,Village,Village
156,Аша,Asha,Туркестанский РУПС,Turkestan district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),161227,Село_не_адм_центр,Village,Village
157,Туркестан,Turkestan,Туркестанский РУПС,Turkestan district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),161224,Город_уровня_2,Medium_city,Small_city
158,Целинный,Tselinny,Шардаринский РУПС,Shardara district,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),161416,Село_не_адм_центр,Village,Village
159,Кайнарбулак,Kainarbulak,ЮКО ОФ,Yuko region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160023,Село_не_адм_центр,Village,Village
160,Кайтпас,Kaitpas,ЮКО ОФ,Yuko region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160024,Село_не_адм_центр,Village,Village
161,Астана,Astana,Астанинский филиал АО,Astana district,город Астана,Astana city,Казахстан (KZ),010000,Город_значения_РК,Big_city,Big_city
162,Алматы,Almaty,Алматинский почтамт,Almaty city,город Алматы,Almaty city,Казахстан (KZ),050000,Город_значения_РК,Big_city,Big_city
163,Семей,Semey,Семипалатинский РУПС,Semipalatinsk district,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),071400,Город_уровня_3,Small_city,Small_city
164,Актюбинск,Aktyubinsk,Актюбинский ОФ,Aktobe region,Актюбинская область,Aktobe,Казахстан (KZ),030000,Город_уровня_2,Medium_city,Small_city
165,Шымкент,Shymkent,ЮКО ОФ,Yuko region,Южно-Казахстанская область,South Kazakhstan,Казахстан (KZ),160000,Город_значения_РК,Big_city,Big_city
166,Павлодар,Pavlodar,Павлодарский ОФ,Pavlodarsky region,Павлодарская область,Pavlodar,Казахстан (KZ),140000,Город_уровня_2,Medium_city,Small_city
167,Центральный операционный участок г.Караганда,Tsentralny Operatsionny Uchastok G.Karaganda,Карагандинский ОФ,Karagandy region,Карагандинская область,Karagandy,Казахстан (KZ),100000,Город_уровня_2,Medium_city,Small_city
168,Кызылорда,Kyzylorda,Кызылординский ОФ,Kyzylorda region,Кызылординская область,Kyzylorda,Казахстан (KZ),120000,Город_уровня_2,Medium_city,Small_city
169,Тараз,Taraz,Жамбылский ОФ,Zhambyl region,Жамбылская область,Zhambyl,Казахстан (KZ),080000,Город_уровня_2,Medium_city,Small_city
170,Усть-Каменогорск,Ust-Kamenogorsk,ВКО ОФ,VKO region,Восточно-Казахстанская область,East Kazakhstan,Казахстан (KZ),070000,Город_уровня_2,Medium_city,Small_city
171,Уральск,Uralsk,ЗКО ОФ,ZKO region,Западно-Казахстанская область,West Kazakhstan,Казахстан (KZ),090000,Город_уровня_2,Medium_city,Small_city
172,Костанай,Kostanai,Костанайский ОФ,Kostanay region,Костанайская область,Kostanay,Казахстан (KZ),110000,Город_уровня_2,Medium_city,Small_city
173,Атырау,Atyrau,Атырауский ОФ,Atyrau region,Атырауская область,Atyrau,Казахстан (KZ),060000,Город_уровня_2,Medium_city,Small_city
174,Актау,Aktau,Мангистауский ОФ,Mangystau region,Мангистауская область,Mangystau region,Казахстан (KZ),130000,Город_уровня_2,Medium_city,Small_city
175,Кокшетау,Kokshetau,Акмолинский ОФ,Akmola region,Акмолинская область,Akmola,Казахстан (KZ),020000,Город_уровня_2,Medium_city,Small_city
